distance_label,avg_throughput_kbps,avg_delay_ms,packet_loss_ratio,tx_packets,rx_packets,avg_packet_size_bytes,packet_loss_percentage,distance_numeric
0m,49998.4,0.268378,3.2e-05,125000,124996,1000,0.0031999999999999997,0
10m,49998.8,0.268639,2.4e-05,125000,124997,1000,0.0024000000000000002,10
20m,49998.4,0.268825,3.2e-05,125000,124996,1000,0.0031999999999999997,20
30m,49998.8,0.26881,2.4e-05,125000,124997,1000,0.0024000000000000002,30
40m,49998.8,0.273334,2.4e-05,125000,124997,1000,0.0024000000000000002,40
50m,49998.0,0.28202,4e-05,125000,124995,1000,0.004,50
60m,49998.4,0.31214,3.2e-05,125000,124996,1000,0.0031999999999999997,60
70m,49998.4,0.539054,3.2e-05,125000,124996,1000,0.0031999999999999997,70
80m,49998.8,1.051116,2.4e-05,125000,124997,1000,0.0024000000000000002,80
90m,49998.4,1.05493,3.2e-05,125000,124996,1000,0.0031999999999999997,90
100m,49998.4,1.053882,3.2e-05,125000,124996,1000,0.0031999999999999997,100
110m,49998.4,1.066966,3.2e-05,125000,124996,1000,0.0031999999999999997,110
120m,49998.4,1.082789,3.2e-05,125000,124996,1000,0.0031999999999999997,120
130m,49998.0,1.127237,4e-05,125000,124995,1000,0.004,130
140m,49998.0,1.182233,4e-05,125000,124995,1000,0.004,140
150m,49997.6,1.14169,4.8e-05,125000,124994,1000,0.0048000000000000004,150
160m,49998.0,1.177182,4e-05,125000,124995,1000,0.004,160
170m,49996.8,2.300959,6.4e-05,125000,124992,1000,0.0063999999999999994,170
180m,49996.8,2.572824,6.4e-05,125000,124992,1000,0.0063999999999999994,180
190m,49997.2,3.039905,5.6e-05,125000,124993,1000,0.0056,190
200m,49992.8,4.957734,0.000144,125000,124982,1000,0.0144,200
